# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       3.25
8                       3.32
16                      3.39
32                      3.80
64                      3.84
128                     4.12
256                     4.20
512                     6.41
1024                    6.92
2048                    9.54
4096                   11.47
8192                   14.44
16384                  18.64
32768                  24.84
65536                  35.58
131072                 89.96
262144                190.70
524288                381.07
1048576               664.16
