# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      48.12
8                      50.01
16                     49.62
32                     64.95
64                     63.41
128                    68.07
256                    68.09
512                    70.31
1024                   71.16
2048                   75.49
4096                   81.24
8192                  110.25
16384                 288.23
32768                 558.97
65536                 531.59
131072               3030.32
262144               8024.69
524288               6030.71
1048576              7559.51
