# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      48.40
8                      49.72
16                     49.73
32                     71.27
64                     70.48
128                    74.67
256                    76.15
512                    80.83
1024                  121.44
2048                   94.62
4096                   96.34
8192                 6066.87
16384                8315.27
32768               10170.96
65536                9736.80
131072               6957.95
262144              10439.21
524288              21728.18
1048576             37795.15
