# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      68.09
8                      66.25
16                     66.05
32                     66.80
64                     66.98
128                    68.46
256                    69.06
512                    68.93
1024                   69.88
2048                   72.40
4096                   77.51
8192                  155.78
16384                 164.69
32768                 181.32
65536                 210.27
131072                260.79
262144                360.51
524288                562.54
1048576               946.04
