# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      69.71
8                      68.59
16                     68.38
32                     68.42
64                     68.30
128                    68.32
256                    68.80
512                    75.93
1024                   76.34
2048                   79.41
4096                   81.24
8192                  157.22
16384                 160.04
32768                 173.67
65536                 264.79
131072                431.13
262144                700.77
524288               1253.02
1048576              2474.34
