# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.85
2                      23.99
4                      30.29
8                      30.38
16                     31.69
32                     38.97
64                     39.22
128                    39.37
256                    40.50
512                    25.68
1024                   26.11
2048                   26.31
4096                   27.32
8192                   31.61
16384                  45.48
32768                  73.80
65536                 132.10
131072                246.93
262144                488.65
524288               1003.34
1048576              2123.12
