
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     449.93
2                     448.69
4                     449.45
8                     512.15
16                    507.32
32                    463.59
64                    480.38
128                   545.92
256                   639.12
512                   837.76
1024                  854.01
2048                  870.38
4096                  885.20
8192                  925.21
16384                1315.80
32768                2778.31
65536                5214.87
131072              10686.96
262144              21336.24
524288              39388.30
1048576             79087.14
