# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     446.39
2                     447.04
4                     464.56
8                     451.45
16                    457.88
32                    464.98
64                    485.06
128                   569.43
256                   633.85
512                   828.50
1024                  864.81
2048                  921.04
4096                  995.92
8192                 1189.39
16384                1668.66
32768                2613.08
65536                4960.84
131072              10025.01
262144              24919.52
524288              42773.70
1048576             80831.80
