# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      77.89
2                      77.98
4                      80.75
8                      81.51
16                     81.99
32                     86.11
64                     89.16
128                    87.61
256                    95.68
512                   107.69
1024                   92.06
2048                  103.67
4096                  111.96
8192                  131.85
16384                 194.07
32768                 278.35
65536                 501.32
131072                993.39
262144               2888.21
524288               5059.79
1048576              9389.25
