# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.43
2                       5.22
4                       5.21
8                       5.22
16                      5.35
32                      5.41
64                      5.44
128                     5.55
256                     5.64
512                     8.32
1024                    8.40
2048                    8.56
4096                    9.22
8192                    9.93
16384                  13.41
32768                  18.25
65536                  30.74
131072                 50.06
262144                 81.85
524288                131.86
1048576               249.14
