# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    5794.48
2                    6038.87
4                    6255.65
8                    6295.97
16                   5334.00
32                   5424.44
64                   5415.52
128                 12447.98
256                  7583.05
512                  5503.98
1024                  197.73
2048                  191.37
4096                  192.30
8192                  211.97
16384                 314.44
32768                 562.96
65536                1195.13
131072               2545.59
262144               4569.83
524288               8086.12
1048576             15598.37
