
# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                   21267.58
2                   21812.38
4                   21021.15
8                   21213.18
16                  21235.90
32                  31049.53
64                  22160.94
128                 21578.26
256                 21770.68
512                   812.12
1024                  813.05
2048                  807.29
4096                  809.28
8192                  801.16
16384                1176.29
32768                2338.06
65536                4440.81
131072               9535.72
262144              18002.36
524288              32673.90
1048576             63195.36
