# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.88
2                      22.12
4                      22.13
8                      23.24
16                     21.87
32                     21.98
64                     22.00
128                    22.11
256                    22.60
512                    29.47
1024                   23.22
2048                   23.71
4096                   25.03
8192                 8644.72
16384                8025.82
32768                4788.20
65536                 147.55
131072                152.95
262144                207.90
524288                366.84
1048576               685.27
