# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     121.96
2                      86.75
4                     763.60
8                     702.92
16                    711.68
32                    705.46
64                    707.49
128                   724.07
256                   739.88
512                    91.27
1024                   92.59
2048                   88.29
4096                  103.58
8192                13997.80
16384               10375.95
32768                 236.64
65536                 256.08
131072                292.98
262144                363.52
524288                547.68
1048576               957.37
