# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     186.27
2                     187.14
4                     186.86
8                     188.12
16                    187.05
32                    190.99
64                    188.40
128                   196.06
256                   196.41
512                   208.16
1024                  208.71
2048                  212.13
4096                  217.05
8192                  237.55
16384                 269.62
32768                 517.86
65536                 818.03
131072               1446.50
262144               2670.99
524288               5115.84
1048576             10037.65
