# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     161.85
8                     161.71
16                    148.34
32                    148.15
64                     67.00
128                    68.23
256                    70.73
512                    75.05
1024                   79.93
2048                   88.52
4096                   95.74
8192                  168.25
16384                 183.67
32768                 187.96
65536                 194.31
131072                260.26
262144                279.27
524288                319.06
1048576               418.85
