# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      90.55
2                      89.59
4                      89.39
8                      89.72
16                     89.65
32                     89.94
64                     90.21
128                    90.72
256                    90.20
512                    90.52
1024                   90.91
2048                   92.96
4096                   98.08
8192                  800.42
16384                 629.58
32768                 986.49
65536                3685.07
131072               2526.23
262144               7133.41
524288              11435.22
1048576             11861.12
