# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.89
8                      24.41
16                     31.73
32                     31.52
64                     30.98
128                    34.46
256                    36.84
512                    38.15
1024                   39.39
2048                   93.55
4096                  100.73
8192                  107.54
16384                 132.85
32768                 155.02
65536                 218.90
131072                349.32
262144                594.32
524288               1089.17
1048576              2139.03
