# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.62
2                      50.45
4                      76.09
8                      80.32
16                     91.92
32                    145.42
64                    372.54
128                   307.33
256                   365.00
512                   566.08
1024                  783.70
2048                 1897.20
4096                 1821.92
8192                 3570.81
16384                6729.37
32768                6476.04
65536               11024.08
131072              20773.41
262144              38855.20
524288              74665.18
1048576            146241.40
