# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.76
2                      47.84
4                      76.62
8                      81.10
16                     98.92
32                    102.07
64                    271.52
128                   306.02
256                  1050.51
512                  1422.42
1024                 1619.50
2048                 2213.15
4096                 3735.49
8192                 5873.05
16384               11168.50
32768               20879.27
65536               94299.53
131072             169654.80
262144             342229.83
524288             685271.74
1048576           1369614.86
