# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      53.48
8                      52.77
16                     52.87
32                     53.34
64                     53.70
128                    60.65
256                    97.33
512                    98.16
1024                  100.78
2048                  237.79
4096                  163.12
8192                  194.07
16384                 217.53
32768                 302.57
65536                 398.23
131072                557.55
262144                929.74
524288               2191.33
1048576              3543.74
