# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     231.80
2                     231.94
4                     276.87
8                     276.54
16                    285.41
32                    691.87
64                    704.86
128                   731.94
256                   790.67
512                  1018.77
1024                 2080.13
2048                 2977.43
4096                 1043.58
8192                 1294.01
16384                1939.84
32768                3133.05
65536                6008.89
131072              12271.71
262144              22213.35
524288              39198.84
1048576             69746.19
