# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     495.47
2                     498.19
4                     810.92
8                     584.36
16                    648.85
32                    668.66
64                    679.40
128                   709.90
256                   771.06
512                   889.57
1024                 2084.52
2048                 2375.42
4096                 2437.03
8192                23783.62
16384               33744.78
32768               51895.77
65536               92806.42
131072              12513.89
262144              28871.50
524288              44159.20
1048576             74862.10
