# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      46.52
2                      49.21
4                      52.11
8                      62.32
16                     71.62
32                     82.72
64                    209.87
128                   229.54
256                   259.22
512                   521.64
1024                  616.63
2048                  773.75
4096                 1053.73
8192                 2127.45
16384                3190.02
32768                5367.26
65536                9781.30
131072              18974.84
262144              37057.96
524288              74043.44
1048576            148738.05
