# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.03
2                      11.12
4                      11.05
8                      11.10
16                     11.06
32                     11.16
64                     12.31
128                    13.61
256                    14.17
512                    14.39
1024                   14.96
2048                   16.70
4096                   19.85
8192                   23.54
16384                  29.52
32768                  40.50
65536                  65.62
131072                114.81
262144                207.56
524288                413.35
1048576               812.25
