# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.86
2                      45.55
4                      47.10
8                      48.72
16                     63.36
32                     65.12
64                    196.84
128                   211.31
256                   244.24
512                   482.56
1024                  550.21
2048                  667.98
4096                  879.45
8192                 1800.44
16384                2584.34
32768                4298.79
65536                8759.93
131072              19486.87
262144              39319.60
524288              79216.70
1048576            159904.30
