# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.07
2                       2.93
4                       2.97
8                       3.27
16                      3.04
32                      3.05
64                      3.14
128                     3.97
256                     5.10
512                     6.01
1024                    6.19
2048                    7.42
4096                    9.68
8192                   15.48
16384                  31.40
32768                  59.03
65536                 108.18
131072                215.36
262144                431.74
524288                817.82
1048576              1671.19
