# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      51.42
2                      51.27
4                      49.41
8                      49.52
16                     49.78
32                     51.20
64                     52.06
128                    52.11
256                    56.57
512                    70.12
1024                   76.84
2048                   81.76
4096                  101.06
8192                  134.77
16384                 187.10
32768                 262.36
65536                 471.33
131072                847.08
262144               1435.17
524288               2781.98
1048576              5606.19
