# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      50.51
2                      49.14
4                      48.18
8                      48.43
16                     49.11
32                     50.72
64                     51.57
128                    51.92
256                    60.51
512                    73.97
1024                   75.03
2048                   80.89
4096                   99.10
8192                  134.22
16384                 185.17
32768                 280.22
65536                 468.79
131072                834.79
262144               1291.48
524288               2483.27
1048576              4878.78
