# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     189.91
2                      86.64
4                      79.61
8                      77.87
16                     78.94
32                     78.97
64                     80.10
128                    84.73
256                    93.45
512                    97.73
1024                  107.20
2048                  137.98
4096                  195.00
8192                  302.35
16384                 537.79
32768                 986.50
65536                3226.44
131072               8216.68
262144              18366.09
524288              37699.72
1048576             79912.98
