# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      44.14
8                      44.22
16                     44.49
32                     45.74
64                     45.03
128                    79.59
256                    83.38
512                    97.97
1024                  114.07
2048                  101.35
4096                  101.05
8192                  164.42
16384                 190.66
32768                 233.72
65536                 307.57
131072                500.33
262144                871.85
524288               1612.77
1048576              3088.55
