# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.64
8                      26.96
16                     34.78
32                     35.07
64                     34.65
128                    38.26
256                    40.82
512                    42.82
1024                   44.32
2048                   45.86
4096                   49.59
8192                   93.53
16384                 121.77
32768                 157.42
65536                 199.03
131072                310.61
262144                543.05
524288                992.13
1048576              1878.89
