# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.05
8                      29.12
16                     29.09
32                     47.76
64                     49.26
128                    50.84
256                    52.05
512                    53.94
1024                   55.89
2048                   63.34
4096                   65.17
8192                   82.81
16384                 108.43
32768                 142.74
65536                 192.01
131072                333.07
262144                610.05
524288               1149.51
1048576              2244.20
