# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       3.28
8                       3.30
16                      3.42
32                      3.79
64                      3.80
128                     4.14
256                     4.45
512                     6.56
1024                    6.97
2048                    9.41
4096                   11.50
8192                   14.78
16384                  18.99
32768                  24.40
65536                  36.63
131072                 62.40
262144                110.94
524288                345.12
1048576               733.59
