# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.31
8                      58.52
16                     58.50
32                     59.85
64                     58.15
128                    66.50
256                   106.08
512                   107.55
1024                  110.09
2048                  115.08
4096                  124.05
8192                  214.26
16384                 219.70
32768                 301.87
65536                 385.50
131072                649.24
262144               1316.92
524288               2409.69
1048576              3955.25
