# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.11
8                      33.40
16                     33.24
32                     33.50
64                     33.57
128                    34.58
256                    36.10
512                    36.61
1024                   37.06
2048                   44.60
4096                   40.15
8192                   44.88
16384                  57.08
32768                  75.82
65536                  99.92
131072                129.26
262144                188.41
524288                282.66
1048576               496.38
