# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     137.31
8                      68.04
16                     94.88
32                     95.27
64                     92.63
128                    95.52
256                    96.64
512                    96.13
1024                   97.11
2048                   98.72
4096                  130.66
8192                  121.88
16384                 150.45
32768                 190.33
65536                 229.23
131072                376.50
262144                671.43
524288               1242.95
1048576              2389.87
