# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      68.79
8                      68.13
16                     77.53
32                     76.08
64                     77.22
128                    83.37
256                    82.48
512                    92.62
1024                   93.39
2048                   94.51
4096                   96.39
8192                  166.06
16384                 175.45
32768                 193.77
65536                 273.16
131072                440.87
262144                720.89
524288               1394.94
1048576              2643.62
