# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      46.33
2                      45.88
4                      46.31
8                      47.68
16                     56.00
32                     56.14
64                     56.56
128                    58.65
256                    60.30
512                    45.46
1024                   45.75
2048                   45.95
4096                   47.98
8192                   83.77
16384                 112.55
32768                 177.67
65536                 308.37
131072                561.89
262144               1171.93
524288               2418.75
1048576              5265.19
