# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     443.92
2                     444.23
4                     456.28
8                     447.80
16                    452.83
32                    536.77
64                    566.86
128                   614.98
256                   781.72
512                   824.07
1024                  855.31
2048                  920.27
4096                  990.57
8192                 1199.27
16384                1689.45
32768                2890.96
65536                6161.51
131072              13349.61
262144              24404.32
524288              40325.10
1048576             77188.50
