# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      50.00
2                      49.66
4                      49.77
8                      51.60
16                     52.35
32                     52.29
64                     55.96
128                    57.79
256                    58.67
512                    43.22
1024                   44.75
2048                   48.52
4096                   56.25
8192                   72.90
16384                  98.07
32768                 151.57
65536                 262.21
131072                486.81
262144               1007.50
524288               2007.02
1048576              4345.63
