# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.45
2                       5.47
4                       5.37
8                       5.24
16                      5.37
32                      5.40
64                      5.30
128                     5.73
256                     5.71
512                     8.32
1024                    8.44
2048                    8.58
4096                    9.32
8192                    9.99
16384                  12.81
32768                  17.89
65536                  31.30
131072                 50.28
262144                 82.26
524288                132.34
1048576               251.70
