# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                   10025.69
2                   10238.31
4                   10330.11
8                   10345.28
16                  10461.43
32                  10485.14
64                  10600.63
128                 10612.14
256                 10738.88
512                 10863.54
1024                  366.39
2048                  392.55
4096                  420.66
8192                  521.78
16384                 678.54
32768                4987.28
65536                5631.75
131072               7067.22
262144               9974.30
524288              15994.70
1048576             28581.86
