# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1809.01
2                    1843.05
4                    1848.45
8                    1607.03
16                   1657.20
32                   1519.76
64                   1352.68
128                  1368.97
256                  1406.08
512                    54.30
1024                   54.42
2048                   54.75
4096                   55.86
8192                   87.61
16384                 114.36
32768                 170.74
65536                 281.33
131072                494.68
262144               1005.89
524288               2101.52
1048576              4010.30
