# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    2671.92
2                    2590.66
4                    2651.16
8                    2658.96
16                   2677.84
32                   2685.86
64                   2679.76
128                  2686.77
256                  2728.96
512                  2871.45
1024                  177.21
2048                  187.01
4096                  198.75
8192                  231.45
16384                 262.78
32768                 359.53
65536                 556.86
131072               1082.73
262144               2599.74
524288               4155.40
1048576              8240.77
