# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     186.04
2                     193.69
4                     196.16
8                     193.81
16                    189.50
32                    190.11
64                    195.21
128                   200.64
256                   192.32
512                   196.99
1024                  210.73
2048                  250.62
4096                  235.77
8192                  287.77
16384                 302.24
32768                 555.38
65536                 853.50
131072               1546.03
262144               2779.28
524288               5036.02
1048576              9840.67
