# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     317.25
2                     317.39
4                     317.97
8                     319.26
16                    318.46
32                    318.82
64                    321.70
128                   324.54
256                   328.51
512                   338.86
1024                 1799.70
2048                  445.63
4096                 1863.94
8192                 2045.23
16384                2245.85
32768                2291.75
65536                2338.59
131072               2413.77
262144               2871.37
524288               3119.48
1048576              5515.64
