# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     217.63
8                     217.91
16                    201.84
32                    201.63
64                     90.23
128                    92.22
256                    96.17
512                   103.10
1024                  110.99
2048                  125.66
4096                  136.05
8192                  326.59
16384                 353.36
32768                 364.31
65536                 371.80
131072                436.49
262144                466.44
524288                520.80
1048576               634.20
