# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     197.10
2                     196.87
4                     197.57
8                     198.01
16                    198.04
32                    198.97
64                    198.69
128                   200.03
256                   198.61
512                   199.15
1024                  200.35
2048                  211.62
4096                  213.13
8192                  281.14
16384                 304.04
32768                 320.20
65536                 403.77
131072                559.30
262144                858.24
524288               1432.33
1048576              2726.64
