# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.59
2                      49.98
4                      53.18
8                      57.26
16                     64.50
32                     71.92
64                    312.20
128                   251.31
256                   266.66
512                   413.43
1024                  501.86
2048                  665.90
4096                  955.12
8192                35342.10
16384                3147.63
32768                5508.45
65536               10323.25
131072              20068.22
262144              39486.90
524288             333239.69
1048576            643808.31
