# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.44
2                      10.43
4                      10.46
8                      10.51
16                     10.61
32                     10.79
64                     11.90
128                    12.75
256                    13.03
512                    13.49
1024                   18.63
2048                   19.79
4096                   27.03
8192                   34.42
16384                  40.57
32768                  53.20
65536                  79.38
131072                133.23
262144                247.19
524288                469.05
1048576               912.69
