# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.67
2                      20.38
4                      20.55
8                      21.18
16                     22.49
32                     22.65
64                     23.58
128                    25.19
256                    31.08
512                    40.13
1024                   49.90
2048                   58.20
4096                   73.22
8192                  111.60
16384                 183.10
32768                 336.51
65536                 643.87
131072               1272.40
262144               2491.71
524288               5026.43
1048576             10182.24
