# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.90
2                       3.03
4                       3.09
8                       3.11
16                      3.09
32                      3.25
64                      3.30
128                     4.00
256                     4.76
512                     5.98
1024                    6.20
2048                    7.43
4096                    9.49
8192                   14.74
16384                  25.12
32768                  58.68
65536                 108.67
131072                212.30
262144                411.04
524288                835.36
1048576              1657.66
