# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      51.38
2                      50.89
4                      49.52
8                      49.83
16                     50.14
32                     53.00
64                     53.90
128                    54.34
256                    56.55
512                    61.28
1024                   66.97
2048                   70.51
4096                   84.27
8192                  110.39
16384                 160.71
32768                 256.71
65536                 456.05
131072                852.21
262144               1480.19
524288               2908.94
1048576              5811.23
