# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      80.31
2                      80.03
4                      80.76
8                      81.76
16                     89.36
32                     98.90
64                    113.04
128                   176.90
256                   203.04
512                   336.57
1024                  386.62
2048                  473.62
4096                  615.09
8192                 4861.79
16384                1661.24
32768                2733.49
65536                4914.35
131072               9328.83
262144              17796.25
524288              43797.44
1048576            268799.12
