# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     193.18
2                      87.83
4                      82.36
8                      79.92
16                     81.51
32                     81.77
64                     81.69
128                    85.59
256                    94.02
512                   101.27
1024                  113.31
2048                  143.92
4096                  196.99
8192                  304.48
16384                 559.76
32768                 986.11
65536                3228.84
131072               8206.89
262144              18334.70
524288              37680.97
1048576             79765.46
