# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.44
8                      21.09
16                     21.38
32                     21.54
64                     21.01
128                    24.36
256                    28.67
512                    28.95
1024                   29.56
2048                   31.12
4096                   34.72
8192                   54.79
16384                  62.42
32768                  75.85
65536                 180.66
131072                304.37
262144                558.55
524288               1065.56
1048576              2048.83
