# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.12
8                      30.70
16                     37.81
32                     38.34
64                     37.79
128                    41.40
256                    44.28
512                    47.93
1024                   61.58
2048                   58.36
4096                   60.60
8192                  101.97
16384                 129.82
32768                 165.15
65536                 205.42
131072                324.44
262144                560.22
524288               1015.04
1048576              1922.04
