# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.54
8                      36.25
16                     36.34
32                     37.46
64                     64.20
128                    66.14
256                    67.98
512                    70.25
1024                   72.13
2048                  112.80
4096                   79.40
8192                  110.68
16384                 142.96
32768                 179.14
65536                 234.15
131072                413.64
262144                743.92
524288               1403.20
1048576              2719.20
