# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       3.26
8                       3.32
16                      3.52
32                      3.71
64                      3.79
128                     4.06
256                     4.17
512                     6.50
1024                    7.00
2048                    9.53
4096                   11.49
8192                   14.04
16384                  18.16
32768                  25.74
65536                  36.28
131072                 97.41
262144                178.49
524288                321.89
1048576               655.75
