# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.21
8                      58.39
16                   1158.04
32                     59.20
64                     58.06
128                   101.90
256                   103.73
512                   119.44
1024                  136.70
2048                  122.97
4096                  124.30
8192                  189.58
16384                 222.22
32768                 263.58
65536                 347.99
131072                570.02
262144               1000.96
524288               1875.41
1048576              3613.67
