# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      61.29
8                      62.62
16                     62.34
32                     63.52
64                     61.71
128                    69.54
256                   112.30
512                   114.20
1024                  117.19
2048                  121.76
4096                  130.82
8192                  185.50
16384                 223.72
32768                 256.89
65536                 324.78
131072                474.33
262144                963.81
524288               2192.01
1048576              3817.80
