# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     176.77
8                      86.83
16                     86.09
32                    109.99
64                    107.93
128                   114.87
256                   111.72
512                   112.89
1024                  115.14
2048                  122.94
4096                  138.81
8192                  151.29
16384                 180.19
32768                 225.60
65536                 285.74
131072                467.08
262144                852.15
524288               1620.66
1048576              3164.35
