# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     128.93
2                     130.98
4                     144.54
8                     145.97
16                    146.82
32                    153.43
64                    160.63
128                   188.53
256                   203.16
512                   265.64
1024                  202.95
2048                  191.95
4096                  194.93
8192                  476.59
16384                 392.20
32768                 724.61
65536                1550.13
131072               3258.64
262144               5471.54
524288              10017.94
1048576             19894.19
